Resource type
microsoft.aad/domainservices
microsoft.aadiam/azureadmetrics
microsoft.aadiam/privatelinkforazuread
microsoft.aadiam/tenants
microsoft.agfoodplatform/farmbeats
microsoft.alertsmanagement/actionrules
microsoft.alertsmanagement/smartdetectoralertrules
microsoft.analysisservices/servers
microsoft.anybuild/clusters
microsoft.apimanagement/service
microsoft.app/connectedenvironments
microsoft.app/connectedenvironments/certificates
microsoft.app/containerapps
microsoft.app/managedenvironments
microsoft.app/managedenvironments/certificates
microsoft.appassessment/migrateprojects
microsoft.appconfiguration/configurationstores
microsoft.appplatform/spring
microsoft.attestation/attestationproviders
microsoft.authorization/resourcemanagementprivatelinks
microsoft.automanage/accounts
microsoft.automanage/configurationprofilepreferences
microsoft.automanage/configurationprofiles
microsoft.automanage/configurationprofiles/versions
microsoft.automanage/patchjobconfigurations
microsoft.automanage/patchschedules
microsoft.automanage/patchschedules/associations
microsoft.automanage/patchtiers
microsoft.automation/automationaccounts
microsoft.automation/automationaccounts/configurations
microsoft.automation/automationaccounts/runbooks
microsoft.automation/automationaccounts/runtimes
microsoft.autonomousdevelopmentplatform/accounts
microsoft.autonomousdevelopmentplatform/workspaces
microsoft.autonomoussystems/workspaces
microsoft.avs/privateclouds
microsoft.azureactivedirectory/b2cdirectories
microsoft.azureactivedirectory/ciamdirectories
microsoft.azureactivedirectory/guestusages
microsoft.azurearcdata/datacontrollers
microsoft.azurearcdata/postgresinstances
microsoft.azurearcdata/sqlmanagedinstances
microsoft.azurearcdata/sqlserverinstances
microsoft.azurearcdata/sqlserverinstances/databases
microsoft.azurearcdata/sqlserverinstances/availabilitygroups
microsoft.azurecis/autopilotenvironments
microsoft.azurecis/dstsserviceaccounts
microsoft.azurecis/dstsserviceclientidentities
microsoft.azurescan/scanningaccounts
microsoft.azuresphere/catalogs
microsoft.azurestack/linkedsubscriptions
microsoft.azurestack/registrations
microsoft.azurestackhci/clusters
microsoft.azurestackhci/galleryimages
microsoft.azurestackhci/marketplacegalleryimages
microsoft.azurestackhci/networkinterfaces
microsoft.azurestackhci/storagecontainers
microsoft.azurestackhci/virtualharddisks
microsoft.azurestackhci/virtualmachines
microsoft.azurestackhci/virtualmachines/extensions
microsoft.azurestackhci/virtualnetworks
microsoft.backupsolutions/vmwareapplications
microsoft.baremetalinfrastructure/baremetalinstances
microsoft.batch/batchaccounts
microsoft.billing/billingaccounts/billingprofiles
microsoft.billing/billingaccounts/billingprofiles/invoicesections
microsoft.bing/accounts
microsoft.blockchaintokens/tokenservices
microsoft.botservice/botservices
microsoft.cache/redis
microsoft.cache/redisenterprise
microsoft.cascade/sites
microsoft.cdn/cdnwebapplicationfirewallpolicies
microsoft.cdn/profiles
microsoft.cdn/profiles/afdendpoints
microsoft.cdn/profiles/endpoints
microsoft.certificateregistration/certificateorders
microsoft.chaos/experiments
microsoft.codesigning/codesigningaccounts
microsoft.codespaces/plans
microsoft.cognitiveservices/accounts
microsoft.communication/communicationservices
microsoft.communication/emailservices
microsoft.communication/emailservices/domains
microsoft.compute/availabilitysets
microsoft.compute/cloudservices
microsoft.compute/diskaccesses
microsoft.compute/diskencryptionsets
microsoft.compute/disks
microsoft.compute/galleries
microsoft.compute/galleries/applications
microsoft.compute/galleries/applications/versions
microsoft.compute/galleries/images
microsoft.compute/galleries/images/versions
microsoft.compute/galleries/serviceartifacts
microsoft.compute/hostgroups
microsoft.compute/hostgroups/hosts
microsoft.compute/images
microsoft.compute/proximityplacementgroups
microsoft.compute/restorepointcollections
microsoft.compute/sharedvmextensions
microsoft.compute/sharedvmextensions/versions
microsoft.compute/sharedvmimages
microsoft.compute/sharedvmimages/versions
microsoft.compute/snapshots
microsoft.compute/sshpublickeys
microsoft.compute/virtualmachines
microsoft.compute/virtualmachines/applications
microsoft.compute/virtualmachines/extensions
microsoft.compute/virtualmachines/runcommands
microsoft.compute/virtualmachinescalesets
microsoft.confidentialledger/ledgers
microsoft.confidentialledger/managedccf
microsoft.confluent/organizations
microsoft.connectedcache/cachenodes
microsoft.connectedcache/enterprisecustomers
microsoft.connectedcache/ispcustomers
microsoft.connectedcache/ispcustomers/ispcachenodes
microsoft.connectedopenstack/flavors
microsoft.connectedopenstack/heatstacks
microsoft.connectedopenstack/heatstacktemplates
microsoft.connectedopenstack/images
microsoft.connectedopenstack/keypairs
microsoft.connectedopenstack/networkports
microsoft.connectedopenstack/networks
microsoft.connectedopenstack/openstackidentities
microsoft.connectedopenstack/securitygrouprules
microsoft.connectedopenstack/securitygroups
microsoft.connectedopenstack/subnets
microsoft.connectedopenstack/virtualmachines
microsoft.connectedopenstack/volumes
microsoft.connectedopenstack/volumesnapshots
microsoft.connectedopenstack/volumetypes
microsoft.connectedvehicle/platformaccounts
microsoft.connectedvmwarevsphere/clusters
microsoft.connectedvmwarevsphere/datastores
microsoft.connectedvmwarevsphere/hosts
microsoft.connectedvmwarevsphere/resourcepools
microsoft.connectedvmwarevsphere/vcenters
microsoft.connectedvmwarevsphere/virtualmachines
microsoft.connectedvmwarevsphere/virtualmachines/extensions
microsoft.connectedvmwarevsphere/virtualmachinetemplates
microsoft.connectedvmwarevsphere/virtualnetworks
microsoft.containerinstance/containergroupprofiles
microsoft.containerinstance/containergroups
microsoft.containerinstance/containerscalesets
microsoft.containerregistry/registries
microsoft.containerregistry/registries/agentpools
microsoft.containerregistry/registries/buildtasks
microsoft.containerregistry/registries/replications
microsoft.containerregistry/registries/tasks
microsoft.containerregistry/registries/webhooks
microsoft.containerservice/containerservices
microsoft.containerservice/fleets
microsoft.containerservice/managedclusters
microsoft.containerservice/managedclustersnapshots
microsoft.containerservice/snapshots
microsoft.costmanagement/connectors
microsoft.customproviders/resourceproviders
microsoft.d365customerinsights/instances
microsoft.dashboard/grafana
microsoft.databox/jobs
microsoft.databoxedge/databoxedgedevices
microsoft.databricks/accessconnectors
microsoft.databricks/workspaces
microsoft.datacatalog/catalogs
microsoft.datacatalog/datacatalogs
microsoft.datacollaboration/workspaces
microsoft.datadog/monitors
microsoft.datafactory/datafactories
microsoft.datafactory/factories
microsoft.datalakeanalytics/accounts
microsoft.datalakestore/accounts
microsoft.datamigration/services
microsoft.datamigration/services/projects
microsoft.datamigration/slots
microsoft.datamigration/sqlmigrationservices
microsoft.dataprotection/backupvaults
microsoft.dataprotection/resourceguards
microsoft.datareplication/replicationfabrics
microsoft.datareplication/replicationvaults
microsoft.datashare/accounts
microsoft.dbformariadb/servers
microsoft.dbformysql/flexibleservers
microsoft.dbformysql/servers
microsoft.dbforpostgresql/flexibleservers
microsoft.dbforpostgresql/servergroups
microsoft.dbforpostgresql/servergroupsv2
microsoft.dbforpostgresql/servers
microsoft.dbforpostgresql/serversv2
microsoft.delegatednetwork/controller
microsoft.delegatednetwork/delegatedsubnets
microsoft.delegatednetwork/orchestrators
microsoft.deploymentmanager/artifactsources
microsoft.deploymentmanager/rollouts
microsoft.deploymentmanager/servicetopologies
microsoft.deploymentmanager/servicetopologies/services
microsoft.deploymentmanager/servicetopologies/services/serviceunits
microsoft.deploymentmanager/steps
microsoft.desktopvirtualization/applicationgroups
microsoft.desktopvirtualization/hostpools
microsoft.desktopvirtualization/scalingplans
microsoft.desktopvirtualization/workspaces
microsoft.devai/instances
